3.98,1827
3.99,1826
4,1825
4.01,1824
4.02,1823
4.03,1822
4.04,1821
4.05,1820
4.06,1819
4.07,1818
4.08,1817
4.09,1816
4.1,1815
4.11,1814
4.12,1813
4.13,1812
4.14,1811
4.15,1810
4.16,1809
4.17,1808
4.18,1807
4.19,1806
4.2,1805
4.21,1804
4.22,1803
4.23,1802
4.24,1801
4.25,1800
4.26,1799
4.27,1798
4.28,1797
4.29,1796
4.3,1795
4.31,1794
4.32,1793
4.33,1792
4.34,1791
4.35,1790
4.36,1789
4.37001,1788
4.38001,1787
4.39001,1786
4.40001,1785
4.41001,1784
4.42001,1783
4.43001,1782
4.44001,1781
4.45001,1780
4.46001,1779
4.47001,1778
4.48001,1777
4.49001,1776
4.50001,1775
4.51001,1774
4.52001,1773
4.53001,1772
4.54001,1771
4.55001,1770
4.56001,1769
4.57001,1768
4.58001,1767
4.59001,1766
4.60001,1765
4.61001,1764
4.62001,1763
4.63001,1762
4.64001,1761
4.65001,1760
4.66001,1759
4.67001,1758
4.68001,1757
4.69001,1756
4.70001,1755
4.71001,1754
4.72001,1753
4.73001,1752
4.74001,1751
4.75001,1750
4.76001,1749
4.77001,1748
4.78001,1747
4.79001,1746
4.80001,1745
4.81002,1744
4.82002,1743
4.83002,1742
4.84002,1741
4.85002,1740
4.86002,1739
4.87002,1738
4.88002,1737
4.89002,1736
4.90002,1735
4.91002,1734
4.92002,1733
4.93002,1732
4.94002,1731
4.95002,1730
4.96002,1729
4.97002,1728
4.98002,1727
4.99002,1726
5.00002,1725
5.01002,1724
5.02002,1723
5.03002,1722
5.04002,1721
5.05002,1720
5.06002,1719
5.07002,1718
5.08002,1717
5.09002,1716
5.10002,1715
5.11002,1714
5.12002,1713
5.13002,1712
5.14002,1711
5.15002,1710
5.16002,1709
5.17002,1708
5.18002,1707
5.19002,1706
5.20002,1705
5.21002,1704
5.22002,1703
5.23002,1702
5.24003,1701
5.25003,1700
5.26003,1699
5.27003,1698
5.28003,1697
5.29003,1696
5.30003,1695
5.31003,1694
5.32003,1693
5.33003,1692
5.34003,1691
5.35003,1690
5.36003,1689
5.37003,1688
5.38003,1687
5.39003,1686
5.40003,1685
5.41003,1684
5.42003,1683
5.43003,1682
5.44003,1681
5.45003,1680
5.46003,1679
5.47003,1678
5.48003,1677
5.49003,1676
5.50003,1675
5.51003,1674
5.52003,1673
5.53003,1672
5.54003,1671
5.55003,1670
5.56003,1669
5.57003,1668
5.58003,1667
5.59003,1666
5.60003,1665
5.61003,1664
5.62003,1663
5.63003,1662
5.64003,1661
5.65003,1660
5.66003,1659
5.67003,1658
5.68004,1657
5.69004,1656
5.70004,1655
5.71004,1654
5.72004,1653
5.73004,1652
5.74004,1651
5.75004,1650
5.76004,1649
5.77004,1648
5.78004,1647
5.79004,1646
5.80004,1645
5.81004,1644
5.82004,1643
5.83004,1642
5.84004,1641
5.85004,1640
5.86004,1639
5.87004,1638
