5.65e-07,1.24127e-06,1.88408,1.24127
5.7e-07,1.25067e-06,1.87936,1.25067
5.75e-07,1.26004e-06,1.87467,1.26004
5.8e-07,1.26939e-06,1.86998,1.26939
5.85e-07,1.27872e-06,1.8653,1.27872
5.9e-07,1.28802e-06,1.86064,1.28802
5.95e-07,1.2973e-06,1.85599,1.2973
6e-07,1.30656e-06,1.85135,1.30656
6.05e-07,1.31579e-06,1.84672,1.31579
6.1e-07,1.325e-06,1.8421,1.325
6.15e-07,1.33419e-06,1.8375,1.33419
6.2e-07,1.34335e-06,1.83291,1.34335
6.25e-07,1.35249e-06,1.82832,1.35249
6.3e-07,1.36161e-06,1.82375,1.36161
6.35e-07,1.37071e-06,1.81919,1.37071
6.4e-07,1.37978e-06,1.81465,1.37978
6.45e-07,1.38883e-06,1.81011,1.38883
6.5e-07,1.39786e-06,1.80558,1.39786
6.55e-07,1.40687e-06,1.80107,1.40687
6.6e-07,1.41585e-06,1.79657,1.41585
6.65e-07,1.42481e-06,1.79208,1.42481
6.7e-07,1.43375e-06,1.7876,1.43375
6.75e-07,1.44266e-06,1.78313,1.44266
6.8e-07,1.45156e-06,1.77867,1.45156
6.85e-07,1.46043e-06,1.77422,1.46043
6.9e-07,1.46928e-06,1.76979,1.46928
6.95e-07,1.4781e-06,1.76536,1.4781
7e-07,1.48691e-06,1.76095,1.48691
7.05e-07,1.49569e-06,1.75655,1.49569
7.1e-07,1.50445e-06,1.75215,1.50445
7.15e-07,1.51319e-06,1.74777,1.51319
7.2e-07,1.52191e-06,1.7434,1.52191
7.25e-07,1.5306e-06,1.73905,1.5306
7.3e-07,1.53928e-06,1.7347,1.53928
7.35e-07,1.54793e-06,1.73036,1.54793
7.4e-07,1.55656e-06,1.72604,1.55656
7.45e-07,1.56517e-06,1.72172,1.56517
7.5e-07,1.57375e-06,1.71742,1.57375
7.55e-07,1.58232e-06,1.71312,1.58232
7.6e-07,1.59086e-06,1.70884,1.59086
7.65e-07,1.59939e-06,1.70457,1.59939
7.7e-07,1.60789e-06,1.70031,1.60789
7.75e-07,1.61637e-06,1.69606,1.61637
7.8e-07,1.62483e-06,1.69182,1.62483
7.85e-07,1.63327e-06,1.68759,1.63327
7.9e-07,1.64168e-06,1.68337,1.64168
7.95e-07,1.65008e-06,1.67916,1.65008
8e-07,1.65845e-06,1.67496,1.65845
8.05e-07,1.66681e-06,1.67077,1.66681
8.1e-07,1.67514e-06,1.6666,1.67514
8.15e-07,1.68345e-06,1.66243,1.68345
8.2e-07,1.69174e-06,1.65827,1.69174
8.25e-07,1.70001e-06,1.65413,1.70001
8.3e-07,1.70826e-06,1.64999,1.70826
8.35e-07,1.71649e-06,1.64587,1.71649
8.4e-07,1.7247e-06,1.64175,1.7247
8.45e-07,1.73289e-06,1.63765,1.73289
8.5e-07,1.74106e-06,1.63355,1.74106
8.55e-07,1.74921e-06,1.62947,1.74921
8.6e-07,1.75733e-06,1.6254,1.75733
