i,t,x,y,Vx,Vy
1828,0.914,5.54083,-0.888321,6.06218,-5.43892
1830,0.915,5.54689,-0.893767,6.06218,-5.4487
1832,0.916,5.55295,-0.899223,6.06218,-5.45848
1834,0.917,5.55902,-0.904689,6.06218,-5.46826
1836,0.918,5.56508,-0.910165,6.06218,-5.47804
1838,0.919,5.57114,-0.91565,6.06218,-5.48782
1840,0.92,5.5772,-0.921145,6.06218,-5.4976
1842,0.921,5.58327,-0.92665,6.06218,-5.50738
1844,0.922,5.58933,-0.932165,6.06218,-5.51716
1846,0.923,5.59539,-0.93769,6.06218,-5.52694
1848,0.924,5.60145,-0.943224,6.06218,-5.53672
1850,0.925,5.60751,-0.948768,6.06218,-5.5465
1852,0.926,5.61358,-0.954322,6.06218,-5.55628
1854,0.927,5.61964,-0.959885,6.06218,-5.56606
1856,0.928,5.6257,-0.965459,6.06218,-5.57584
1858,0.929,5.63176,-0.971042,6.06218,-5.58562
1860,0.93,5.63783,-0.976635,6.06218,-5.5954
1862,0.931,5.64389,-0.982238,6.06218,-5.60518
1864,0.932,5.64995,-0.98785,6.06218,-5.61496
1866,0.933,5.65601,-0.993472,6.06218,-5.62474
1868,0.934,5.66207,-0.999104,6.06218,-5.63452
1870,0.935,5.66814,-1.00475,6.06218,-5.6443
1872,0.936,5.6742,-1.0104,6.06218,-5.65408
1874,0.937,5.68026,-1.01606,6.06218,-5.66386
1876,0.938,5.68632,-1.02173,6.06218,-5.67364
1878,0.939,5.69238,-1.02741,6.06218,-5.68342
1880,0.94,5.69845,-1.0331,6.06218,-5.6932
1882,0.941,5.70451,-1.0388,6.06218,-5.70298
1884,0.942,5.71057,-1.04451,6.06218,-5.71276
1886,0.943,5.71663,-1.05023,6.06218,-5.72254
1888,0.944,5.7227,-1.05596,6.06218,-5.73232
1890,0.945,5.72876,-1.0617,6.06218,-5.7421
1892,0.946,5.73482,-1.06745,6.06218,-5.75188
1894,0.947,5.74088,-1.07321,6.06218,-5.76166
1896,0.948,5.74694,-1.07898,6.06218,-5.77144
1898,0.949,5.75301,-1.08476,6.06218,-5.78122
1900,0.95,5.75907,-1.09055,6.06218,-5.791
1902,0.951,5.76513,-1.09635,6.06218,-5.80078
1904,0.952,5.77119,-1.10215,6.06218,-5.81056
1906,0.953,5.77726,-1.10797,6.06218,-5.82034
1908,0.954,5.78332,-1.1138,6.06218,-5.83012
1910,0.955,5.78938,-1.11964,6.06218,-5.8399
1912,0.956,5.79544,-1.12548,6.06218,-5.84968
1914,0.957,5.8015,-1.13134,6.06218,-5.85946
1916,0.958,5.80757,-1.13721,6.06218,-5.86924
1918,0.959,5.81363,-1.14308,6.06218,-5.87902
1920,0.96,5.81969,-1.14897,6.06218,-5.8888
1922,0.961,5.82575,-1.15487,6.06218,-5.89858
1924,0.962,5.83182,-1.16077,6.06218,-5.90836
1926,0.963,5.83788,-1.16669,6.06218,-5.91814
1928,0.964,5.84394,-1.17261,6.06218,-5.92792
1930,0.965,5.85,-1.17855,6.06218,-5.9377
1932,0.966,5.85606,-1.18449,6.06218,-5.94748
1934,0.967,5.86213,-1.19045,6.06218,-5.95726
1936,0.968,5.86819,-1.19641,6.06218,-5.96704
1938,0.969,5.87425,-1.20239,6.06218,-5.97682
1940,0.97,5.88031,-1.20837,6.06218,-5.9866
1942,0.971,5.88637,-1.21437,6.06218,-5.99638
1944,0.972,5.89244,-1.22037,6.06218,-6.00616
1946,0.973,5.8985,-1.22638,6.06218,-6.01594
1948,0.974,5.90456,-1.23241,6.06218,-6.02572
1950,0.975,5.91062,-1.23844,6.06218,-6.0355
1952,0.976,5.91669,-1.24448,6.06218,-6.04528
1954,0.977,5.92275,-1.25054,6.06218,-6.05506
1956,0.978,5.92881,-1.2566,6.06218,-6.06484
1958,0.979,5.93487,-1.26267,6.06218,-6.07462
1960,0.98,5.94093,-1.26875,6.06218,-6.0844
1962,0.981,5.947,-1.27484,6.06218,-6.09418
1964,0.982,5.95306,-1.28095,6.06218,-6.10396
1966,0.983,5.95912,-1.28706,6.06218,-6.11374
1968,0.984,5.96518,-1.29318,6.06218,-6.12352
1970,0.985,5.97125,-1.29931,6.06218,-6.1333
1972,0.986,5.97731,-1.30545,6.06218,-6.14308
1974,0.987,5.98337,-1.3116,6.06218,-6.15286
1976,0.988,5.98943,-1.31776,6.06218,-6.16264
1978,0.989,5.99549,-1.32393,6.06218,-6.17242
1980,0.99,6.00156,-1.33011,6.06218,-6.1822
1982,0.991,6.00762,-1.3363,6.06218,-6.19198
1984,0.992,6.01368,-1.3425,6.06218,-6.20176
1986,0.993,6.01974,-1.34871,6.06218,-6.21154
1988,0.994,6.0258,-1.35493,6.06218,-6.22132
1990,0.995,6.03187,-1.36116,6.06218,-6.2311
1992,0.996,6.03793,-1.36739,6.06218,-6.24088
1994,0.997,6.04399,-1.37364,6.06218,-6.25066
1996,0.998,6.05005,-1.3799,6.06218,-6.26044
1998,0.999,6.05612,-1.38617,6.06218,-6.27022
2000,1,6.06218,-1.39245,6.06218,-6.28
