"i","ai","bi","ri","f(ri)","f(ai)","f(b1)"
0,-2,-1,-1.2,3.01568,-12,3
1,-2,-1.2,-1.36066831472168,2.55130004240417,-12,3.01568
2,-2,-1.36066831472168,-1.47276324445357,1.78920378533398,-12,2.55130004240417
3,-2,-1.47276324445357,-1.54117430092038,1.07782981178183,-12,1.78920378533398
4,-2,-1.54117430092038,-1.57898913900874,0.587692382265534,-12,1.07782981178183
5,-2,-1.57898913900874,-1.59864523389426,0.302682539043394,-12,0.587692382265534
6,-2,-1.59864523389426,-1.60851975347782,0.15126608912649,-12,0.302682539043394
7,-2,-1.60851975347782,-1.61339312925836,0.0744512123674655,-12,0.15126608912649
8,-2,-1.61339312925836,-1.61577695190422,0.0363680902826243,-12,0.0744512123674655
9,-2,-1.61577695190422,-1.61693788835922,0.0176995065452571,-12,0.0363680902826243
10,-2,-1.61693788835922,-1.61750205709622,0.00859840695352957,-12,0.0176995065452571
11,-2,-1.61750205709622,-1.61777593360208,0.00417343605273078,-12,0.00859840695352957
12,-2,-1.61777593360208,-1.61790881969435,0.00202481104768568,-12,0.00417343605273078
13,-2,-1.61790881969435,-1.61797328068783,0.000982167262265491,-12,0.00202481104768568
14,-2,-1.61797328068783,-1.61800454597361,0.00047636829662998,-12,0.000982167262265491
15,-2,-1.61800454597361,-1.61801970958196,0.000231035714755558,-12,0.00047636829662998
16,-2,-1.61801970958196,-1.61802706369783,0.000112048267168066,-12,0.000231035714755558
17,-2,-1.61802706369783,-1.61803063028166,5.43408214326104e-05,-12,0.000112048267168066
18,-2,-1.61803063028166,-1.6180323599846,2.63538969591488e-05,-12,5.43408214326104e-05
19,-2,-1.6180323599846,-1.61803319884408,1.27809259681188e-05,-12,2.63538969591488e-05
"Resultado Final",-1.61803319884408
